rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
1001;Flensburg, Stadt;11;3;21;9;-25;-16;-38;-42;-14;-34;-1;8;17;9;30;18;13;13;2;-3;-17;-8;-31;-20
1002;Kiel, Stadt;-1;-2;6;2;-26;-17;-40;-44;-19;-35;-20;-7;-6;-11;7;0;0;3;-6;-13;-13;-10;-32;-24
1003;Lübeck, Stadt;5;1;13;6;-23;-12;-35;-36;-12;-28;-8;3;-1;-5;13;5;4;6;-2;-9;-12;-7;-34;-23
1004;Neumünster, Stadt;2;0;12;6;-21;-10;-31;-33;-11;-28;-10;1;-5;-8;7;2;-5;2;-8;-8;-3;2;-22;-14
1051;Dithmarschen;-9;-8;-3;-4;-20;-7;-32;-31;2;-19;9;27;23;19;47;38;34;39;28;20;9;16;-15;-5
1053;Herzogtum Lauenburg;-5;-6;0;-2;-22;-11;-29;-32;-9;-26;-9;6;1;-4;21;9;13;16;7;-2;5;8;-13;-6
1054;Nordfriesland;-8;-12;1;-7;-22;-12;-49;-38;6;-18;50;52;71;50;96;73;81;66;64;39;-8;8;-34;-18
1055;Ostholstein;-2;-3;5;3;-18;-5;-37;-31;4;-14;24;43;34;26;57;43;46;43;35;17;0;4;-24;-14
1056;Pinneberg;-1;-3;7;3;-22;-12;-31;-34;-12;-27;-12;0;-8;-13;6;-2;1;4;-5;-10;-4;0;-22;-13
1057;Plön;-5;-6;4;2;-23;-11;-32;-32;-2;-22;8;27;22;17;49;35;27;31;17;8;5;10;-19;-8
1058;Rendsburg-Eckernförde;5;-3;9;4;-13;-4;-25;-27;2;-18;5;22;13;9;36;25;21;26;11;5;4;9;-15;-4
1059;Schleswig-Flensburg;3;2;14;9;-19;-5;-34;-29;-7;-19;3;28;14;15;43;36;34;41;21;12;9;17;-9;3
1060;Segeberg;-5;-4;4;2;-25;-13;-33;-33;-15;-27;-11;3;-7;-10;4;0;1;7;-2;-7;-4;1;-19;-11
1061;Steinburg;-13;-8;-5;-3;-24;-10;-30;-32;-11;-26;-10;4;-5;-9;12;7;12;16;6;1;7;11;-13;-6
1062;Stormarn;1;-2;9;4;-19;-10;-26;-31;-8;-24;-8;2;-4;-10;10;3;6;9;-1;-7;0;2;-16;-8
2000;Hamburg;0;-3;8;2;-32;-24;-44;-49;-26;-40;-22;-15;-15;-23;-2;-11;-7;-6;-13;-21;-19;-17;-31;-25
3101;Braunschweig, Stadt;4;3;14;6;-26;-16;-40;-44;-20;-36;-16;-8;-3;-10;-5;-18;-6;-4;-11;-19;-14;-12;-33;-26
3102;Salzgitter, Stadt;-1;-1;8;3;-17;-10;-31;-35;-17;-30;-15;-1;-1;-6;-2;-11;1;4;-3;-10;-4;-2;-19;-12
3103;Wolfsburg, Stadt;-4;-3;9;3;-29;-20;-49;-54;-27;-44;-21;-19;-3;-13;-13;-30;-7;-13;-11;-25;-14;-20;-36;-34
3151;Gifhorn;-3;-3;5;2;-24;-14;-34;-38;-16;-31;-16;-3;0;-3;2;-11;9;9;2;-7;3;3;-15;-11
3153;Goslar;0;-1;9;5;-14;-8;-31;-35;-7;-26;-5;8;17;6;23;7;28;26;26;9;6;6;-20;-11
3154;Helmstedt;2;2;12;8;-15;-4;-28;-29;-11;-23;-10;7;4;4;4;-1;7;14;3;-4;2;6;-14;-7
3155;Northeim;2;-1;12;2;-11;-9;-22;-30;-8;-26;-5;2;3;-5;6;-10;8;8;-1;-7;-3;2;-13;-9
3157;Peine;-1;0;7;5;-18;-8;-29;-30;-17;-26;-13;1;-1;-2;1;-8;2;4;-2;-9;1;3;-16;-10
3158;Wolfenbüttel;2;-1;6;1;-22;-14;-30;-35;-16;-30;-13;-1;-2;-5;-5;-11;-3;3;-5;-13;-5;-2;-21;-16
3159;Göttingen;1;1;9;5;-22;-13;-32;-37;-14;-30;-17;-6;-1;-6;4;-10;3;6;0;-10;-5;-2;-22;-14
3241;Region Hannover;-3;-4;4;0;-27;-17;-39;-43;-22;-35;-19;-8;-7;-14;-7;-16;-5;-4;-10;-18;-11;-9;-27;-20
3251;Diepholz;-6;-6;3;-1;-22;-10;-28;-29;-10;-22;-10;7;0;-1;1;-6;8;12;-1;-3;2;8;-15;-4
3252;Hameln-Pyrmont;-9;-2;-1;0;-26;-12;-36;-35;-23;-30;-18;-1;-4;-5;2;-6;6;10;1;-5;-1;1;-18;-14
3254;Hildesheim;0;0;6;2;-21;-12;-31;-35;-18;-32;-18;-5;-6;-9;-3;-13;0;4;-6;-13;-6;-3;-22;-16
3255;Holzminden;8;-2;14;3;-10;0;-25;-28;-4;-21;1;27;21;15;26;21;43;49;58;41;42;42;23;37
3256;Nienburg (Weser);-14;-9;-2;-6;-24;-11;-30;-30;-15;-26;-19;0;-11;-7;-6;-9;-2;10;-5;-5;-4;5;-13;-7
3257;Schaumburg;-7;-7;-3;-4;-25;-14;-33;-34;-18;-30;-17;-1;-4;-4;-1;-9;2;9;-3;-6;-3;2;-17;-8
3351;Celle;1;-2;8;0;-18;-9;-30;-31;-14;-25;-9;9;4;5;6;2;8;17;-1;-1;-4;7;-20;-8
3352;Cuxhaven;-2;0;5;1;-17;-5;-30;-27;-1;-18;2;18;9;6;28;10;30;26;26;9;10;12;-10;-3
3353;Harburg;0;0;6;3;-20;-11;-29;-31;-11;-25;-10;4;0;-4;4;-5;4;10;-3;-7;-2;3;-19;-10
3354;Lüchow-Dannenberg;2;6;13;9;-4;7;-17;-14;8;-15;-24;26;33;30;34;20;34;39;30;20;15;18;1;11
3355;Lüneburg;-3;-4;4;-1;-23;-13;-34;-33;-16;-26;-14;3;-3;-4;4;-5;3;14;-6;-7;-11;0;-26;-13
3356;Osterholz;-7;-5;-1;-2;-20;-9;-28;-31;-12;-27;-13;1;-1;-5;8;-3;11;14;2;-7;0;3;-12;-5
3357;Rotenburg (Wümme);-2;-1;5;2;-22;-8;-28;-28;-14;-25;-17;7;5;6;11;2;10;15;1;-2;-3;4;-19;-8
3358;Heidekreis;-4;-3;9;4;-17;-6;-35;-35;-11;-26;-5;11;18;11;27;17;24;26;22;7;10;11;-9;-3
3359;Stade;-8;-7;0;-4;-21;-10;-29;-29;-9;-22;-6;11;4;3;6;-2;11;18;7;2;-1;7;-20;-9
3360;Uelzen;-1;-4;5;-1;-22;-10;-33;-32;-15;-27;-12;5;3;6;11;4;17;24;10;4;1;8;-16;-6
3361;Verden;-12;-8;-5;-4;-28;-14;-34;-32;-18;-27;-19;-1;-7;-7;-3;-9;-3;2;-9;-11;-10;-4;-24;-15
3401;Delmenhorst, Stadt;7;4;13;6;-17;-6;-29;-29;-13;-24;-19;1;-9;-5;-4;-8;-6;6;-16;-13;-15;-6;-27;-14
3402;Emden, Stadt;12;8;12;5;-14;-8;-25;-30;5;-19;8;20;29;22;48;30;42;39;35;20;8;8;-16;-9
3403;Oldenburg (Oldenburg), Stadt;-2;-3;12;4;-27;-14;-42;-43;-19;-34;-16;-5;-8;-12;-2;-13;-1;4;-10;-14;-17;-10;-29;-18
3404;Osnabrück, Stadt;-6;-7;1;-5;-34;-22;-45;-46;-26;-39;-22;-10;-13;-14;-10;-20;-6;-1;-10;-14;-20;-12;-35;-24
3405;Wilhelmshaven, Stadt;1;-1;8;2;-19;-7;-37;-35;-17;-32;-11;7;2;-1;14;1;10;15;2;-4;-3;0;-25;-17
3451;Ammerland;-5;-2;1;0;-22;-8;-33;-31;-15;-24;-13;7;-2;-2;11;2;13;16;4;-2;5;7;-13;-6
3452;Aurich;-7;-3;-2;-2;-22;-8;-34;-30;-4;-19;4;24;21;21;40;29;42;46;25;16;6;9;-18;-9
3453;Cloppenburg;-7;-3;0;-2;-20;-7;-28;-27;-9;-22;-9;12;6;8;22;15;22;31;10;9;11;17;0;9
3454;Emsland;-6;-4;6;-1;-18;-8;-31;-34;-11;-26;-3;9;15;5;27;6;33;23;19;4;17;12;-3;1
3455;Friesland;3;4;7;5;-15;-2;-28;-27;0;-18;8;28;22;20;44;30;32;35;19;12;0;8;-20;-9
3456;Grafschaft Bentheim;14;1;22;6;-12;-5;-31;-34;-14;-28;-12;6;3;-1;9;0;16;18;1;-6;1;5;-20;-9
3457;Leer;-14;-9;-6;-6;-29;-14;-36;-35;-15;-27;-9;8;8;6;19;7;18;22;6;3;4;7;-16;-4
3458;Oldenburg;-5;-3;4;2;-19;-5;-26;-26;-9;-20;-12;9;-2;-1;0;-2;5;12;-3;-5;-1;6;-18;-7
3459;Osnabrück;-1;0;4;3;-20;-7;-27;-27;-13;-22;-11;7;-4;-4;-1;-5;3;13;-3;-3;-4;4;-20;-8
3460;Vechta;-18;-11;-11;-7;-31;-14;-36;-32;-15;-24;-13;6;-5;-2;-6;-7;4;11;-6;-6;-2;5;-17;-8
3461;Wesermarsch;8;5;15;8;-4;2;-15;-24;9;-15;12;23;23;12;31;11;28;24;15;3;8;8;-14;-9
3462;Wittmund;-12;-14;-9;-15;-26;-16;-40;-39;-11;-28;5;22;14;14;44;26;46;43;34;21;7;14;-15;-8
4011;Bremen, Stadt;-1;-3;8;2;-25;-15;-40;-41;-22;-34;-20;-9;-8;-13;-6;-16;-5;-3;-15;-19;-16;-11;-28;-20
4012;Bremerhaven, Stadt;0;0;7;4;-21;-9;-34;-33;-17;-27;-13;2;-1;-5;6;-8;3;7;2;-5;-7;2;-22;-13
5111;Düsseldorf, Stadt;-1;-4;2;-5;-35;-22;-44;-49;-24;-39;-22;-14;-15;-27;-6;-14;-6;-7;-13;-25;-24;-20;-38;-28
5112;Duisburg, Stadt;3;-1;7;-1;-21;-12;-31;-36;-12;-28;-15;-3;-8;-16;8;4;3;6;-5;-14;-14;-9;-25;-17
5113;Essen, Stadt;3;-1;5;-2;-27;-15;-37;-40;-16;-32;-17;-5;-12;-19;5;1;-2;2;-9;-17;-20;-11;-32;-22
5114;Krefeld, Stadt;3;0;4;-3;-22;-10;-30;-33;-13;-27;-13;-1;-9;-16;6;5;0;6;-6;-13;-15;-7;-27;-17
5116;Mönchengladbach, Stadt;6;2;8;-1;-22;-10;-30;-32;-11;-26;-11;1;-6;-13;8;6;4;8;-2;-11;-14;-5;-25;-16
5117;Mülheim an der Ruhr, Stadt;1;-1;5;-1;-25;-15;-31;-35;-14;-29;-13;-1;-11;-16;9;6;1;6;-5;-12;-15;-7;-29;-19
5119;Oberhausen, Stadt;6;3;9;2;-26;-13;-36;-36;-17;-27;-15;0;-10;-13;6;4;1;7;-7;-12;-18;-7;-34;-24
5120;Remscheid, Stadt;-5;-6;-2;-10;-26;-19;-31;-37;-15;-32;-15;-5;-9;-18;3;-1;-1;2;-14;-19;-19;-12;-30;-22
5122;Solingen, Stadt;6;3;7;-1;-20;-11;-28;-32;-11;-26;-15;-3;-13;-19;1;-3;-4;1;-7;-14;-12;-5;-26;-15
5124;Wuppertal, Stadt;-3;-4;-1;-6;-25;-16;-35;-38;-20;-33;-19;-9;-15;-21;-3;-8;-3;0;-8;-17;-13;-8;-26;-18
5154;Kleve;10;5;13;4;-17;-4;-30;-31;-12;-24;-10;7;-2;-6;12;13;10;17;-3;-9;-6;4;-22;-9
5158;Mettmann;-5;-8;-1;-7;-25;-16;-32;-35;-16;-30;-16;-4;-14;-19;-2;-9;-1;0;-6;-15;-9;-6;-21;-15
5162;Rhein-Kreis Neuss;5;-2;6;-3;-20;-12;-29;-33;-14;-26;-14;-1;-10;-16;1;-5;0;2;-6;-13;-11;-5;-24;-15
5166;Viersen;3;-1;5;-2;-20;-7;-25;-27;-11;-22;-10;5;-4;-10;9;5;4;9;-6;-10;-12;-1;-25;-11
5170;Wesel;7;2;9;1;-17;-7;-23;-27;-7;-21;-7;8;-3;-8;11;7;7;11;-1;-8;-8;-2;-21;-13
5314;Bonn, Stadt;-1;-5;2;-8;-30;-18;-41;-46;-22;-40;-19;-12;-12;-25;-4;-9;-5;-3;-10;-22;-22;-17;-33;-30
5315;Köln, Stadt;5;0;9;-3;-31;-18;-42;-45;-19;-37;-18;-9;-12;-22;2;-7;-4;-3;-13;-24;-25;-19;-34;-29
5316;Leverkusen, Stadt;4;1;7;0;-24;-14;-32;-37;-13;-31;-12;-3;-7;-18;2;-1;1;2;-7;-15;-15;-10;-28;-20
5334;Städteregion Aachen;1;-1;3;-3;-23;-10;-37;-34;-20;-27;-15;-1;-12;-15;9;6;2;6;-11;-15;-17;-7;-29;-17
5358;Düren;-1;1;4;-1;-19;-6;-24;-26;-8;-23;-10;4;-5;-12;10;9;6;8;0;-9;-5;1;-21;-13
5362;Rhein-Erft-Kreis;4;-1;9;-2;-18;-8;-27;-32;-11;-26;-12;0;-8;-15;2;-4;-1;3;-7;-14;-12;-5;-24;-16
5366;Euskirchen;-6;-6;-1;-7;-19;-8;-26;-29;-9;-24;-9;5;0;-9;11;8;5;11;1;-7;-7;1;-20;-11
5370;Heinsberg;7;2;7;-3;-21;-14;-19;-23;-5;-19;-9;5;0;-7;14;10;16;18;8;0;3;10;-12;-3
5374;Oberbergischer Kreis;5;4;10;1;-11;-3;-24;-31;-10;-27;-9;1;0;-10;13;8;11;10;7;-6;-1;2;-13;-8
5378;Rheinisch-Bergischer Kreis;6;2;9;0;-18;-9;-25;-30;-11;-25;-11;2;-8;-14;5;0;2;6;-2;-11;-7;-3;-22;-15
5382;Rhein-Sieg-Kreis;1;-2;5;-4;-19;-9;-26;-32;-11;-27;-11;0;-6;-13;6;0;2;5;-2;-12;-9;-4;-22;-14
5512;Bottrop, Stadt;11;6;11;3;-19;-8;-29;-31;-11;-25;-16;1;-8;-13;8;6;4;11;-3;-9;-11;0;-25;-13
